,date,event,province,district,deaths,injured,missing,house_destroyed,house_damaged,directly_affected,indirectly_affected,relocated,evacuated,losses_local,education_center,hospitals,crops_damageHa,road_damage_M
36,2019-12-27,event,province, TRENGGALEK,0.0,0.0,0.0,0.0,0.0,0.0,44.0, ,0.0,0,0.0,0.0,0.0,0.0
37,2019-12-27,event,province, SRAGEN,0.0,0.0,0.0,0.0,0.0,0.0,800.0, ,0.0,0,0.0,0.0,0.0,0.0
38,2019-12-27,event,province, MANOKWARI,0.0,0.0,0.0,0.0,0.0,0.0,169.0, ,0.0,0,0.0,0.0,0.0,0.0
39,2019-12-27,event,province, SEMARANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
40,2019-12-27,event,province, BATU,0.0,0.0,0.0,0.0,1.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
41,2019-12-27,event,province, BREBES,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,50.0,0.0
42,2019-12-27,event,province, KERINCI,0.0,0.0,0.0,0.0,0.0,0.0,68.0, ,0.0,0,0.0,0.0,0.0,0.0
43,2019-12-26,event,province, INDRAMAYU,0.0,1.0,0.0,1.0,0.0,0.0,9.0, ,0.0,0,0.0,0.0,0.0,0.0
44,2019-12-26,event,province, SUKABUMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,1.0,0.0,0.0,0.0
45,2019-12-26,event,province, BOGOR,0.0,0.0,0.0,1.0,4.0,5.0,0.0, ,5.0,0,0.0,0.0,0.0,0.0
46,2019-12-26,event,province, JEMBER,0.0,0.0,0.0,0.0,1.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
47,2019-12-25,event,province, WONOGIRI,0.0,0.0,0.0,3.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
48,2019-12-25,event,province, KOTA MALANG,0.0,0.0,0.0,1.0,1.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
49,2019-12-25,event,province, PURBALINGGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
50,2019-12-25,event,province, TEMANGGUNG,0.0,0.0,0.0,0.0,1.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
51,2019-12-25,event,province, SIDOARJO,0.0,0.0,0.0,0.0,4.0,0.0,0.0, ,0.0,0,1.0,0.0,0.0,0.0
52,2019-12-25,event,province, BIMA,0.0,0.0,0.0,0.0,0.0,0.0,5.0, ,0.0,0,0.0,0.0,0.0,0.0
53,2019-12-25,event,province, NGANJUK,0.0,0.0,0.0,3.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
54,2019-12-25,event,province, JEMBER,0.0,1.0,0.0,0.0,1.0,0.0,1.0, ,0.0,0,0.0,0.0,0.0,0.0
55,2019-12-25,event,province, KOTA SURAKARTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
56,2019-12-25,event,province, KEDIRI,0.0,0.0,0.0,0.0,1.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
57,2019-12-25,event,province, BOYOLALI,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
58,2019-12-25,event,province, WONOGIRI,0.0,0.0,0.0,0.0,1.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
59,2019-12-25,event,province, BANYUMAS,0.0,1.0,0.0,0.0,4.0,10.0,1.0, ,10.0,0,0.0,0.0,0.0,0.0
60,2019-12-25,event,province, CILACAP,0.0,0.0,0.0,2.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
61,2019-12-25,event,province, SEMARANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
62,2019-12-25,event,province, TRENGGALEK,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
63,2019-12-25,event,province, BIMA,0.0,0.0,0.0,0.0,0.0,0.0,325.0, ,0.0,0,0.0,0.0,0.0,0.0
64,2019-12-25,event,province, BLITAR,0.0,0.0,0.0,0.0,0.0,0.0,5.0, ,0.0,0,0.0,0.0,0.0,0.0
65,2019-12-25,event,province, MAGELANG,0.0,0.0,0.0,0.0,1.0,6.0,12.0, ,6.0,0,0.0,0.0,0.0,0.0
66,2019-12-25,event,province, CIAMIS,0.0,0.0,0.0,0.0,5.0,0.0,17.0, ,0.0,0,0.0,0.0,0.0,0.0
67,2019-12-25,event,province, BOJONEGORO,0.0,0.0,0.0,1.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
68,2019-12-24,event,province, KLATEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
69,2019-12-24,event,province, KOTA TASIKMALAYA,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
70,2019-12-24,event,province, PESISIR SELATAN,0.0,0.0,0.0,0.0,0.0,500.0,210.0, ,500.0,0,0.0,0.0,0.0,0.0
71,2019-12-24,event,province, BOYOLALI,0.0,1.0,0.0,0.0,0.0,5.0,1.0, ,5.0,0,0.0,0.0,0.0,0.0
72,2019-12-23,event,province, PAMEKASAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
73,2019-12-23,event,province, PASAMAN BARAT,1.0,0.0,0.0,0.0,2.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
74,2019-12-23,event,province, LOMBOK TENGAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
75,2019-12-23,event,province, TELUK WONDAMA,0.0,0.0,0.0,0.0,0.0,50.0,3899.0, ,50.0,0,0.0,0.0,0.0,0.0
76,2019-12-23,event,province, MUSI BANYU ASIN,0.0,0.0,0.0,1.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
77,2019-12-23,event,province, BUOL,0.0,0.0,0.0,0.0,0.0,0.0,696.0, ,0.0,0,0.0,0.0,0.0,0.0
78,2019-12-23,event,province, BATU,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
79,2019-12-23,event,province, PACITAN,0.0,0.0,0.0,1.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
80,2019-12-23,event,province, KARANGANYAR,0.0,0.0,0.0,1.0,0.0,15.0,0.0, ,15.0,0,0.0,0.0,0.0,0.0
81,2019-12-22,event,province, LAMPUNG BARAT,0.0,0.0,0.0,0.0,2.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
82,2019-12-22,event,province, PEMALANG,0.0,0.0,0.0,2.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
83,2019-12-22,event,province, PATI,0.0,0.0,0.0,1.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
84,2019-12-22,event,province, PONOROGO,0.0,0.0,0.0,0.0,3.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
85,2019-12-22,event,province, KOTA SEMARANG,0.0,0.0,0.0,0.0,2.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
86,2019-12-22,event,province, KOTA SEMARANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
87,2019-12-22,event,province, PONOROGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
88,2019-12-22,event,province, BREBES,0.0,0.0,0.0,0.0,0.0,0.0,0.0, ,0.0,0,0.0,0.0,0.0,0.0
